SSC,Chemistry,HSC,Merit,JEE,Final,Admittance
83.09,64,70.92,65.48651328,31,24,0
91.27,73,81.85,88.63180553,67,47,1
88.55,77,84.77,88.4843,64,47,1
92.91,82,84.15,80.93094844,46,45,1
85.82,58,70.15,57.49772199,32,37,1
90,57,73.85,94.05771988,120,18,0
94.91,86,88.62,94.9405,88,36,1
95.82,87,90.46,94.669,86,51,1
82.4,74,87.8,36090,168,24,0
92.6,95,88.4,74.85504504,52,50,1
93.1,95,92.8,108396,83,44,1
84.8,72,72.92,76.49309855,59,28,0
91.27,77,81.08,71.74180796,35,50,1
90.18,70,77.85,92.12238283,88,24,0
86.73,56,62.62,52.61345404,39,24,0
81.8,55,64.92,75.41376183,94,24,0
89.45,79,87.23,93.81688946,88,47,1
94,85,89.69,95.6265,94,54,1
88.91,57,75.38,94.63663762,168,33,0
90.91,69,78.15,79.14086511,51,33,0
91.27,82,83.23,92.10237286,76,41,1
93.2,95,85.8,81.41069963,66,28,0
94.18,89,91.08,95.7558,95,38,1
77.6,53,67.08,45.91694296,23,33,0
80.8,50,63.69,30.79763205,31,8,0
61.85,38,60.92,25.76157952,14,24,0
87.2,67,66.2,21.90861439,10,0,1
95.45,85,81.69,95.7603,99,35,0
76.73,56,67.38,47.59881327,26,25,0
77.64,43,60.15,43.64364444,36,7,0
93.09,58,82.77,83.910979,56,31,0
92.2,58,68.15,57.84229079,31,33,0
80.55,50,67.85,56.98802797,38,31,0
74.18,57,68.15,64.83301254,35,30,0
93.64,79,83.38,90.32855086,68,51,1
85.64,68,66.46,63.15351776,39,36,1
89.27,64,70.77,81.92747119,58,24,0
89.45,53,76,80.70620313,70,15,0
93.4,98,90.4,92.08007391,97,34,0
94,95,90.2,84.20801935,66,51,1
94.55,75,82,83.88996833,55,40,1
94,94,87.4,94.7249,129,42,1
90.18,63,84.31,80.57433755,50,50,1
85.09,62,74,64.76013154,33,43,1
89.82,62,75.69,79.15423774,58,33,0
78.91,66,70.15,64.76013154,33,27,0
90,71,79.54,87.7161,73,39,1
87.09,66,82.31,89.50704232,67,41,1
87.67,77,80,80.78830345,50,36,1
78.36,76,84.77,94.39585403,91,36,1
78,45,57.69,38.99713354,23,33,0
92.55,69,78.92,84.31596783,58,29,0
93.64,78,83.54,94.3606,89,36,1
82,49,70,81.45511181,74,28,0
88.36,46,60.46,30.01599555,11,26,0
92.6,66,80.46,74.85308843,42,26,0
90.18,50,67.08,43.39655919,16,41,1
75.86,49,54.4,22.58603328,20,0,1
87.45,64,78.92,94.6337,101,29,0
93.83,66,84.92,87.38391324,69,46,1
61.27,51,58.77,55.72054969,41,17,0
60,49,64,45.2855414,22,31,0
89.09,73,78.92,81.20708317,49,46,1
84.36,69,71.85,82.35661778,55,39,1
91.82,88,89.08,96.9802,111,44,1
96.36,74,89.54,36862,92,56,1
91.64,80,87.85,92.05963395,75,36,1
89.64,73,80.31,94.9824,107,30,0
91.82,79,87.38,85.41074498,55,31,0
86.91,65,73.38,79.0943194,55,30,0
93,88,90.4,89.83434559,104,33,0
92.18,85,87.69,87.12507753,58,33,0
94,66,83.85,83.80162822,56,50,1
91.82,75,86,95.0171,100,38,1
93.82,76,82.46,91.81969144,78,46,1
91.64,66,81.38,90.58678257,82,28,0
86.36,69,74.92,86.02782438,66,27,0
92,66,77.85,82.6128509,58,14,0
91.64,56,73.38,79.26887288,50,26,0
91.83,93,86.6,84.33411832,83,40,1
84.8,51,74.31,80.71787456,72,37,1
94.73,86,80.92,85.7663547,56,50,1
87.27,68,71,27.47209453,-3,40,1
91.64,76,86.46,90.12947094,71,34,0
94.36,70,77.08,82.73642104,57,47,1
86.4,53,74.92,84.00024207,63,24,0
87.82,72,76.77,84.4849,55,32,0
82.6,63,69.08,67.76681076,38,24,0
95.27,68,88.46,90.8605185,72,39,1
84.18,56,72.31,75.1047809,64,44,1
94.36,72,82.31,80.25811299,52,45,1
93.1,94,93,93.10829434,100,30,0
75.4,91,89.2,87.21820524,74,29,0
95.2,95,94.4,46782,111,28,0
93,85,84,80.63392238,72,31,0
94,94,90.8,84.97536673,68,25,0
90.6,94,85.6,81.75618735,75,35,0
88.8,95,89.4,85.9424418,70,49,1
88.73,87,90.15,93.41133419,81,45,1
87.64,83,83.08,95.6709,97,38,1
88.91,85,88.17,94.7494,89,28,0
93.2,68,78.62,88.63476699,77,28,0
74.73,44,60.15,28.22353703,13,32,0
94.18,72,88.46,92.30838237,79,52,1
91.45,63,72.46,80.11127595,55,24,0
93.8,62,70.92,82.02722695,85,30,0
90,66,81.54,83.335,56,36,1
95,86,87,131848,99,34,0
95.6,69,76,89.4158,86,25,0
88.18,51,78.46,86.04485042,82,28,0
94.73,81,89.38,37949,106,46,1
91.17,93,91.4,79.71213685,49,25,0
93.4,81,82.62,91.53857946,72,45,1
84.73,44,65.54,48.80425714,25,32,0
78.4,56,69.54,64.44354101,46,37,1
90.18,63,78.15,80.75807817,54,52,1
92.18,88,87.69,95.5306,94,36,1
92.6,81,82.77,80.88301941,48,38,1
78,46,60.2,30.05330532,26,24,0
87,55,60.77,53.99863699,36,30,0
86.91,80,79.08,89.90225499,67,20,0
96.73,73,88.62,93.42186667,82,30,0
95.82,71,83.08,91.70454275,82,24,0
87.4,95,88.8,84.5319,70,32,0
88.36,83,81.08,92.5683,76,48,1
90.91,82,84.31,93.68405024,82,46,1
90.18,83,89.54,94.5737,87,32,0
92.36,90,86.15,94.4876,86,35,0
92.55,73,80.77,92.4065,81,36,1
88.73,72,84,91.56230006,79,45,1
76.6,62,70.77,74.24146612,48,29,0
77.64,62,69.85,75.62807441,53,35,0
84.67,64,75.08,65.93669051,38,27,0
93.67,96,96.4,41027,107,48,1
69.6,73,71.08,51.31299342,11,38,1
88.67,94,93.4,89.48430739,79,28,0
97.09,70,77.38,69.74462071,37,41,1
86.4,75,76.2,66.20057192,51,35,0
75.8,58,68.46,75.11565008,56,41,1
80.6,53,62.77,25.1857,7,12,0
85.27,55,76.92,66.26775621,34,32,0
94.36,76,82.77,75.06423184,39,31,0
80.43,45,60,33.71716438,18,27,0
95.09,61,68.31,86.49009995,88,36,1
91.27,60,80.92,85.73883588,60,41,1
85.64,70,80.62,86.90975924,65,37,1
83.09,38,58,36.10350065,29,24,0
72.73,50,59.23,35.00583876,21,33,0
82.2,70,79.23,73.9505139,46,39,1
86.18,81,75.08,87.54345374,61,34,0
95.82,76,87.23,88.76944009,65,37,1
92.73,60,80.92,83.23541613,53,28,0
88,75,84.92,93.3361,105,41,1
88.8,67,76.92,85.72312514,64,35,0
94.73,82,88.31,91.66112066,75,28,0
93.82,73,88.31,42103,99,39,1
88.36,59,71.38,57.45445516,23,25,0
95.64,67,72,80.56537317,84,24,0
88.18,67,74.46,86.78184451,71,28,0
89.27,75,86.15,92.66565321,78,48,1
92.55,76,85.38,90.68840207,69,20,0
92.18,71,84.92,86.2056581,59,45,1
85.5,74,83.2,202076,84,56,1
96.55,71,79.38,70.81838601,46,35,0
86.6,48,65.85,65.30711481,45,32,0
64.36,51,63.54,83.90536831,87,26,0
87.4,59,71.08,68.50414175,42,38,1
94.18,60,82.15,90.41498782,74,35,0
96,57,71.08,76.97412267,57,31,0
94,70,80.62,69.31714319,33,36,1
92.55,66,80.62,55.47316122,17,28,0
84.5,51,69.54,71.50612427,57,35,0
94.55,62,76.46,88.62844754,68,40,1
85.09,53,69.23,75.22708086,58,15,0
91.45,83,89.69,47281,94,36,1
93.82,49,65.38,45.17701804,27,39,1
86.6,66,79.08,69.9704903,35,42,1
89.27,58,78.15,85.25161692,62,31,0
90.91,63,71.23,74.65209152,52,28,0
89.09,52,81.38,90.9014618,84,26,0
94.33,74,86.15,93.0708,88,42,1
84.36,72,81.23,69.0802165,33,40,1
84.17,96,89,47073,118,39,1
87.09,58,72.46,70.16896196,44,32,0
78.6,55,62.31,72.0043,61,39,1
85.82,60,76.15,66.99207575,33,9,0
96,95,89.4,89.23172232,95,47,1
68.4,49,64.46,45.50560159,38,29,0
87,94,91.8,85.84433579,64,30,0
77,82.67,82.9,81.52202282,50,34,0
92.91,74,85.08,90.85103513,75,43,1
81.82,63,71.08,86.30959805,61,26,0
91.64,85,85.23,95.9194,103,25,0
96.8,60,68,78.7446,98,12,0
87.45,60,79.69,85.82559282,69,37,1
